p,Connected,No AP/B & connected,Degree <= 4 & connected,All Conditions
0.000000,0.000000e+00,-nan,-nan,-nan
0.010000,1.198160e-06,1.009385e-03,1.000000e+00,1.009385e-03
0.020000,1.837124e-05,2.120943e-03,1.000000e+00,2.120943e-03
0.030000,8.910567e-05,3.339937e-03,1.000000e+00,3.339937e-03
0.040000,2.697490e-04,4.671840e-03,1.000000e+00,4.671840e-03
0.050000,6.306625e-04,6.122343e-03,1.000000e+00,6.122343e-03
0.060000,1.252034e-03,7.697357e-03,1.000000e+00,7.697357e-03
0.070000,2.220211e-03,9.403022e-03,1.000000e+00,9.403022e-03
0.080000,3.624510e-03,1.124571e-02,1.000000e+00,1.124571e-02
0.090000,5.554472e-03,1.323203e-02,1.000000e+00,1.323203e-02
0.100000,8.097522e-03,1.536882e-02,1.000000e+00,1.536882e-02
0.110000,1.133700e-02,1.766319e-02,1.000000e+00,1.766319e-02
0.120000,1.535052e-02,2.012247e-02,1.000000e+00,2.012247e-02
0.130000,2.020867e-02,2.275425e-02,1.000000e+00,2.275425e-02
0.140000,2.597396e-02,2.556636e-02,1.000000e+00,2.556636e-02
0.150000,3.270004e-02,2.856691e-02,1.000000e+00,2.856691e-02
0.160000,4.043113e-02,3.176423e-02,1.000000e+00,3.176423e-02
0.170000,4.920168e-02,3.516691e-02,1.000000e+00,3.516691e-02
0.180000,5.903620e-02,3.878379e-02,1.000000e+00,3.878379e-02
0.190000,6.994924e-02,4.262395e-02,1.000000e+00,4.262395e-02
0.200000,8.194550e-02,4.669672e-02,1.000000e+00,4.669672e-02
0.210000,9.502012e-02,5.101163e-02,1.000000e+00,5.101163e-02
0.220000,1.091590e-01,5.557846e-02,1.000000e+00,5.557846e-02
0.230000,1.243393e-01,6.040719e-02,1.000000e+00,6.040719e-02
0.240000,1.405299e-01,6.550798e-02,1.000000e+00,6.550798e-02
0.250000,1.576920e-01,7.089119e-02,1.000000e+00,7.089119e-02
0.260000,1.757796e-01,7.656732e-02,1.000000e+00,7.656732e-02
0.270000,1.947407e-01,8.254702e-02,1.000000e+00,8.254702e-02
0.280000,2.145171e-01,8.884103e-02,1.000000e+00,8.884103e-02
0.290000,2.350461e-01,9.546020e-02,1.000000e+00,9.546020e-02
0.300000,2.562605e-01,1.024154e-01,1.000000e+00,1.024154e-01
0.310000,2.780894e-01,1.097175e-01,1.000000e+00,1.097175e-01
0.320000,3.004593e-01,1.173774e-01,1.000000e+00,1.173774e-01
0.330000,3.232945e-01,1.254059e-01,1.000000e+00,1.254059e-01
0.340000,3.465177e-01,1.338135e-01,1.000000e+00,1.338135e-01
0.350000,3.700509e-01,1.426108e-01,1.000000e+00,1.426108e-01
0.360000,3.938159e-01,1.518079e-01,1.000000e+00,1.518079e-01
0.370000,4.177348e-01,1.614147e-01,1.000000e+00,1.614147e-01
0.380000,4.417307e-01,1.714406e-01,1.000000e+00,1.714406e-01
0.390000,4.657282e-01,1.818947e-01,1.000000e+00,1.818947e-01
0.400000,4.896539e-01,1.927853e-01,1.000000e+00,1.927853e-01
0.410000,5.134365e-01,2.041201e-01,1.000000e+00,2.041201e-01
0.420000,5.370078e-01,2.159062e-01,1.000000e+00,2.159062e-01
0.430000,5.603027e-01,2.281495e-01,1.000000e+00,2.281495e-01
0.440000,5.832595e-01,2.408552e-01,1.000000e+00,2.408552e-01
0.450000,6.058200e-01,2.540272e-01,1.000000e+00,2.540272e-01
0.460000,6.279305e-01,2.676681e-01,1.000000e+00,2.676681e-01
0.470000,6.495408e-01,2.817793e-01,1.000000e+00,2.817793e-01
0.480000,6.706055e-01,2.963604e-01,1.000000e+00,2.963604e-01
0.490000,6.910833e-01,3.114096e-01,1.000000e+00,3.114096e-01
0.500000,7.109375e-01,3.269231e-01,1.000000e+00,3.269231e-01
0.510000,7.301358e-01,3.428951e-01,1.000000e+00,3.428951e-01
0.520000,7.486505e-01,3.593177e-01,1.000000e+00,3.593177e-01
0.530000,7.664582e-01,3.761808e-01,1.000000e+00,3.761808e-01
0.540000,7.835402e-01,3.934717e-01,1.000000e+00,3.934717e-01
0.550000,7.998817e-01,4.111752e-01,1.000000e+00,4.111752e-01
0.560000,8.154724e-01,4.292734e-01,1.000000e+00,4.292734e-01
0.570000,8.303058e-01,4.477454e-01,1.000000e+00,4.477454e-01
0.580000,8.443797e-01,4.665676e-01,1.000000e+00,4.665676e-01
0.590000,8.576951e-01,4.857129e-01,1.000000e+00,4.857129e-01
0.600000,8.702567e-01,5.051515e-01,1.000000e+00,5.051515e-01
0.610000,8.820727e-01,5.248501e-01,1.000000e+00,5.248501e-01
0.620000,8.931541e-01,5.447722e-01,1.000000e+00,5.447722e-01
0.630000,9.035149e-01,5.648780e-01,1.000000e+00,5.648780e-01
