p,Connected,No AP/B & connected,Degree <= 4 & connected,All Conditions
0.000000,0.000000e+00,-nan,-nan,-nan
0.010000,2.243942e-09,1.260403e-04,9.740544e-01,1.260111e-04
0.020000,2.457232e-07,3.211849e-04,9.716363e-01,3.206908e-04
0.030000,3.589806e-06,6.007565e-04,9.689826e-01,5.981184e-04
0.040000,2.298255e-05,9.820575e-04,9.660709e-01,9.732685e-04
0.050000,9.360616e-05,1.484516e-03,9.628771e-01,1.461910e-03
0.060000,2.863516e-04,2.129829e-03,9.593751e-01,2.080475e-03
0.070000,7.188782e-04,2.942098e-03,9.555370e-01,2.845892e-03
0.080000,1.561496e-03,3.947959e-03,9.513330e-01,3.775384e-03
0.090000,3.036525e-03,5.176690e-03,9.467311e-01,4.886233e-03
0.100000,5.411129e-03,6.660308e-03,9.416976e-01,6.195492e-03
0.110000,8.984631e-03,8.433635e-03,9.361967e-01,7.719671e-03
0.120000,1.407195e-02,1.053433e-02,9.301907e-01,9.474371e-03
0.130000,2.098505e-02,1.300291e-02,9.236403e-01,1.147388e-02
0.140000,3.001430e-02,1.588266e-02,9.165046e-01,1.373074e-02
0.150000,4.141131e-02,1.921958e-02,9.087414e-01,1.625527e-02
0.160000,5.537456e-02,2.306219e-02,9.003076e-01,1.905506e-02
0.170000,7.203867e-02,2.746133e-02,8.911594e-01,2.213447e-02
0.180000,9.146762e-02,3.246983e-02,8.812528e-01,2.549409e-02
0.190000,1.136522e-01,3.814212e-02,8.705444e-01,2.913025e-02
0.200000,1.385110e-01,4.453378e-02,8.589915e-01,3.303447e-02
0.210000,1.658954e-01,5.170093e-02,8.465535e-01,3.719307e-02
0.220000,1.955967e-01,5.969957e-02,8.331921e-01,4.158671e-02
0.230000,2.273552e-01,6.858483e-02,8.188727e-01,4.619015e-02
0.240000,2.608715e-01,7.841007e-02,8.035650e-01,5.097195e-02
0.250000,2.958172e-01,8.922594e-02,7.872441e-01,5.589446e-02
0.260000,3.318469e-01,1.010794e-01,7.698918e-01,6.091388e-02
0.270000,3.686086e-01,1.140124e-01,7.514976e-01,6.598048e-02
0.280000,4.057538e-01,1.280611e-01,7.320596e-01,7.103903e-02
0.290000,4.429462e-01,1.432543e-01,7.115859e-01,7.602946e-02
0.300000,4.798694e-01,1.596126e-01,6.900955e-01,8.088771e-02
0.310000,5.162323e-01,1.771471e-01,6.676189e-01,8.554674e-02
0.320000,5.517738e-01,1.958582e-01,6.441995e-01,8.993783e-02
0.330000,5.862657e-01,2.157350e-01,6.198935e-01,9.399199e-02
0.340000,6.195140e-01,2.367541e-01,5.947706e-01,9.764154e-02
0.350000,6.513596e-01,2.588793e-01,5.689138e-01,1.008218e-01
0.360000,6.816776e-01,2.820610e-01,5.424195e-01,1.034730e-01
0.370000,7.103758e-01,3.062360e-01,5.153965e-01,1.055415e-01
0.380000,7.373923e-01,3.313280e-01,4.879654e-01,1.069824e-01
0.390000,7.626936e-01,3.572474e-01,4.602569e-01,1.077601e-01
0.400000,7.862707e-01,3.838927e-01,4.324106e-01,1.078504e-01
0.410000,8.081370e-01,4.111511e-01,4.045726e-01,1.072411e-01
0.420000,8.283243e-01,4.389001e-01,3.768936e-01,1.059331e-01
0.430000,8.468801e-01,4.670087e-01,3.495261e-01,1.039405e-01
0.440000,8.638646e-01,4.953398e-01,3.226218e-01,1.012906e-01
0.450000,8.793480e-01,5.237519e-01,2.963292e-01,9.802377e-02
0.460000,8.934076e-01,5.521013e-01,2.707901e-01,9.419203e-02
0.470000,9.061258e-01,5.802445e-01,2.461377e-01,8.985812e-02
0.480000,9.175881e-01,6.080403e-01,2.224936e-01,8.509370e-02
0.490000,9.278811e-01,6.353519e-01,1.999655e-01,7.997740e-02
0.500000,9.370915e-01,6.620495e-01,1.786457e-01,7.459265e-02
0.510000,9.453044e-01,6.880117e-01,1.586092e-01,6.902535e-02
0.520000,9.526026e-01,7.131277e-01,1.399126e-01,6.336148e-02
0.530000,9.590658e-01,7.372981e-01,1.225940e-01,5.768483e-02
0.540000,9.647698e-01,7.604368e-01,1.066720e-01,5.207476e-02
0.550000,9.697867e-01,7.824714e-01,9.214715e-02,4.660429e-02
