p	Connected	No AP/B	Degree <= 4	All Conditions
0.000000	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.010000	2.243942e-09	2.828272e-13	2.185721e-09	2.827615e-13
0.020000	2.457232e-07	7.892259e-11	2.387536e-07	7.880118e-11
0.030000	3.589806e-06	2.156599e-09	3.478459e-06	2.147129e-09
0.040000	2.298255e-05	2.257019e-08	2.220277e-05	2.236819e-08
0.050000	9.360616e-05	1.389598e-07	9.013123e-05	1.368438e-07
0.060000	2.863516e-04	6.098799e-07	2.747186e-04	5.957475e-07
0.070000	7.188782e-04	2.115010e-06	6.869148e-04	2.045850e-06
0.080000	1.561496e-03	6.164721e-06	1.485502e-03	5.895246e-06
0.090000	3.036525e-03	1.571915e-05	2.874772e-03	1.483717e-05
0.100000	5.411129e-03	3.603979e-05	5.095647e-03	3.352461e-05
0.110000	8.984631e-03	7.577310e-05	8.411382e-03	6.935840e-05
0.120000	1.407195e-02	1.482386e-04	1.308960e-02	1.333229e-04
0.130000	2.098505e-02	2.728667e-04	1.938264e-02	2.407800e-04
0.140000	3.001430e-02	4.767069e-04	2.750824e-02	4.121186e-04
0.150000	4.141131e-02	7.959078e-04	3.763217e-02	6.731519e-04
0.160000	5.537456e-02	1.277059e-03	4.985414e-02	1.055166e-03
0.170000	7.203867e-02	1.978278e-03	6.419794e-02	1.594538e-03
0.180000	9.146762e-02	2.969938e-03	8.060610e-02	2.331884e-03
0.190000	1.136522e-01	4.334934e-03	9.893924e-02	3.310715e-03
0.200000	1.385110e-01	6.168418e-03	1.189798e-01	4.575637e-03
0.210000	1.658954e-01	8.576949e-03	1.404394e-01	6.170160e-03
0.220000	1.955967e-01	1.167704e-02	1.629696e-01	8.134224e-03
0.230000	2.273552e-01	1.559312e-02	1.861750e-01	1.050157e-02
0.240000	2.608715e-01	2.045495e-02	2.096272e-01	1.329713e-02
0.250000	2.958172e-01	2.639457e-02	2.328804e-01	1.653455e-02
0.260000	3.318469e-01	3.354288e-02	2.554862e-01	2.021409e-02
0.270000	3.686086e-01	4.202594e-02	2.770085e-01	2.432097e-02
0.280000	4.057538e-01	5.196126e-02	2.970359e-01	2.882435e-02
0.290000	4.429462e-01	6.345394e-02	3.151943e-01	3.367696e-02
0.300000	4.798694e-01	7.659320e-02	3.311557e-01	3.881553e-02
0.310000	5.162323e-01	9.144904e-02	3.446464e-01	4.416199e-02
0.320000	5.517738e-01	1.080694e-01	3.554524e-01	4.962534e-02
0.330000	5.862657e-01	1.264780e-01	3.634223e-01	5.510428e-02
0.340000	6.195140e-01	1.466725e-01	3.684687e-01	6.049030e-02
0.350000	6.513596e-01	1.686235e-01	3.705675e-01	6.567126e-02
0.360000	6.816776e-01	1.922746e-01	3.697552e-01	7.053519e-02
0.370000	7.103758e-01	2.175426e-01	3.661252e-01	7.497414e-02
0.380000	7.373923e-01	2.443187e-01	3.598219e-01	7.888799e-02
0.390000	7.626936e-01	2.724703e-01	3.510350e-01	8.218795e-02
0.400000	7.862707e-01	3.018436e-01	3.399918e-01	8.479961e-02
0.410000	8.081370e-01	3.322664e-01	3.269501e-01	8.666551e-02
0.420000	8.283243e-01	3.635516e-01	3.121901e-01	8.774695e-02
0.430000	8.468801e-01	3.955003e-01	2.960067e-01	8.802510e-02
0.440000	8.638646e-01	4.279065e-01	2.787016e-01	8.750137e-02
0.450000	8.793480e-01	4.605602e-01	2.605765e-01	8.619700e-02
0.460000	8.934076e-01	4.932515e-01	2.419259e-01	8.415188e-02
